"","employees","salarieso","adjustments","salariesa","raise"
"1","Employee 1",47310.0474686362,-3624.31689747609,43685.7305711601,FALSE
"2","Employee 2",46646.1666463874,7582.82769587822,54228.9943422657,TRUE
"3","Employee 3",49149.3219253607,68.9416727982461,49218.263598159,TRUE
"4","Employee 4",42333.1237141974,8724.289505044,51057.4132192414,TRUE
"5","Employee 5",46640.937034972,8872.96046712436,55513.8975020964,TRUE
"6","Employee 6",48757.5550726615,6125.32113562338,54882.8762082849,TRUE
"7","Employee 7",41058.7811376899,-328.018290456384,40730.7628472336,FALSE
"8","Employee 8",42513.7940840796,5036.20409872383,47549.9981828034,TRUE
"9","Employee 9",48130.1446491852,793.687254190445,48923.8319033757,TRUE
"10","Employee 10",46892.0571822673,6329.90489597432,53221.9620782416,TRUE
"11","Employee 11",47845.611742232,-1.03483092971146,47844.5769113023,FALSE
"12","Employee 12",45619.0464552492,-3654.10031750798,41964.9461377412,FALSE
"13","Employee 13",49158.7052680552,1726.98999522254,50885.6952632777,TRUE
"14","Employee 14",40455.8831593022,-1074.3229999207,39381.5601593815,FALSE
"15","Employee 15",40412.9466484301,-961.142039159313,39451.8046092708,FALSE
"16","Employee 16",47631.4912945963,-3869.52917440794,43761.9621201884,FALSE
"17","Employee 17",41626.2077121064,1170.72729277425,42796.9350048807,TRUE
"18","Employee 18",43390.1364519261,2230.04879779182,45620.1852497179,TRUE
"19","Employee 19",42903.2593173906,4340.16719576903,47243.4265131596,TRUE
"20","Employee 20",40550.744838547,695.766983553767,41246.5118221007,TRUE
"21","Employee 21",47782.5731551275,578.399010701105,48360.9721658286,TRUE
"22","Employee 22",47152.0122792572,-3812.6125454437,43339.3997338135,FALSE
"23","Employee 23",47940.6226286665,-1769.56153707579,46171.0610915907,FALSE
"24","Employee 24",46325.1941441558,-4237.75523318909,42087.4389109667,FALSE
"25","Employee 25",47593.536588829,9907.97094651498,57501.507535344,TRUE
"26","Employee 26",47605.9492048807,4904.30336561985,52510.2525705006,TRUE
"27","Employee 27",42854.2632283643,-1361.73563776538,41492.5275905989,FALSE
"28","Employee 28",42749.4583418593,-54.4970470946282,42694.9612947647,FALSE
"29","Employee 29",44459.6849940717,3640.92939766124,48100.614391733,TRUE
"30","Employee 30",45388.0699677393,3579.01357463561,48967.0835423749,TRUE
"31","Employee 31",49789.8978902958,-3164.65676063672,46625.2411296591,FALSE
"32","Employee 32",40885.1580391638,-4916.42266395502,35968.7353752088,FALSE
"33","Employee 33",49828.0920740217,4096.17007477209,53924.2621487938,TRUE
"34","Employee 34",41582.4276255444,-3854.29893503897,37728.1286905054,FALSE
"35","Employee 35",45254.6117408201,502.502808813006,45757.1145496331,TRUE
"36","Employee 36",45358.4520239383,9568.02627420984,54926.4782981481,TRUE
"37","Employee 37",40556.7368352786,8794.47182989679,49351.2086651754,TRUE
"38","Employee 38",44394.158043433,-482.8419117257,43911.3161317073,FALSE
"39","Employee 39",46673.9360732026,7905.13097308576,54579.0670462884,TRUE
"40","Employee 40",49326.5182315372,-1974.75836030208,47351.7598712351,FALSE
"41","Employee 41",42754.1327523068,-3713.91264605336,39040.2201062534,FALSE
"42","Employee 42",48220.1287825592,9127.39725550637,57347.5260380656,TRUE
"43","Employee 43",45559.3838612549,1870.54261099547,47429.9264722504,TRUE
"44","Employee 44",49719.3619888276,3294.63800415397,53013.9999929816,TRUE
"45","Employee 45",46786.8935945444,-3058.20674053393,43728.6868540104,FALSE
"46","Employee 46",43277.0358631387,7124.40533214249,50401.4411952812,TRUE
"47","Employee 47",45908.8774910197,980.765706626698,46889.6431976464,TRUE
"48","Employee 48",44197.1910907887,-2073.26671225019,42123.9243785385,FALSE
"49","Employee 49",48082.1844306774,4486.08902283013,52568.2734535076,TRUE
"50","Employee 50",49350.1266161911,9898.26175849885,59248.38837469,TRUE
"51","Employee 51",43562.8154780716,2944.49085486121,46507.3063329328,TRUE
"52","Employee 52",49061.0024472699,497.703467262909,49558.7059145328,TRUE
"53","Employee 53",49464.2012566328,-898.243892006576,48565.9573646262,FALSE
"54","Employee 54",41388.2222329266,6049.15257077664,47437.3748037033,TRUE
"55","Employee 55",40383.8773421012,6704.54080565833,47088.4181477595,TRUE
"56","Employee 56",47744.1384713165,1545.0987953227,49289.2372666392,TRUE
"57","Employee 57",47655.8141876012,5416.58725240268,53072.4014400039,TRUE
"58","Employee 58",49257.2784214281,4988.04981354624,54245.3282349743,TRUE
"59","Employee 59",41524.9715792015,9625.68641989492,51150.6579990964,TRUE
"60","Employee 60",42736.8363016285,-4728.45861804672,38008.3776835818,FALSE
"61","Employee 61",46183.9272500947,2982.7082681004,49166.6355181951,TRUE
"62","Employee 62",41539.348626975,7191.35146355256,48730.7000905275,TRUE
"63","Employee 63",43540.8895998262,2978.36351557635,46519.2531154025,TRUE
"64","Employee 64",40924.2392517626,2150.16813599505,43074.4073877577,TRUE
"65","Employee 65",43071.9861690886,77.1095196250826,43149.0956887137,TRUE
"66","Employee 66",45015.3870601207,2667.03778295778,47682.4248430785,TRUE
"67","Employee 67",40729.0414976887,3378.72191797942,44107.7634156682,TRUE
"68","Employee 68",42634.228344541,3047.39507497288,45681.6234195139,TRUE
"69","Employee 69",43265.4333068058,2553.28589235432,45818.7191991601,TRUE
"70","Employee 70",42727.6626764797,7725.10469774716,50452.7673742268,TRUE
"71","Employee 71",41319.4826059043,597.115835407749,41916.5984413121,TRUE
"72","Employee 72",43006.4860451967,6551.30078434013,49557.7868295368,TRUE
"73","Employee 73",45979.6735015698,995.767605490983,46975.4411070608,TRUE
"74","Employee 74",48008.8143935427,6151.54512808658,54160.3595216293,TRUE
"75","Employee 75",42392.0131917112,1284.12357415073,43676.1367658619,TRUE
"76","Employee 76",49993.6589365825,-1331.06009336188,48662.5988432206,FALSE
"77","Employee 77",43921.8608033843,6995.27296703309,50917.1337704174,TRUE
"78","Employee 78",40131.3061243854,9293.60875394195,49424.9148783274,TRUE
"79","Employee 79",47137.334283907,-4906.35271533392,42230.981568573,FALSE
"80","Employee 80",48292.7075913176,4717.06771408208,53009.7753053997,TRUE
"81","Employee 81",44218.0958134122,8576.22609124519,52794.3219046574,TRUE
"82","Employee 82",47350.3812379204,-3513.35690356791,43837.0243343525,FALSE
"83","Employee 83",41540.8876398578,6352.20975498669,47893.0973948445,TRUE
"84","Employee 84",42984.4623524696,-2587.71575987339,40396.7465925962,FALSE
"85","Employee 85",41350.9603985585,-2886.41838124022,38464.5420173183,FALSE
"86","Employee 86",40007.643091958,9799.96812297031,49807.6112149283,TRUE
"87","Employee 87",44215.9170960076,5249.63666219264,49465.5537582003,TRUE
"88","Employee 88",44358.0356682651,912.107470212504,45270.1431384776,TRUE
"89","Employee 89",45096.4414840564,-2785.38465267047,42311.0568313859,FALSE
"90","Employee 90",47207.7790345065,-4829.3096665293,42378.4693679772,FALSE
"91","Employee 91",47232.2711185552,-555.790914222598,46676.4802043326,FALSE
"92","Employee 92",44732.9617873766,-366.194925736636,44366.7668616399,FALSE
"93","Employee 93",40609.5775682479,4035.30467185192,44644.8822400998,TRUE
"94","Employee 94",44073.9489230327,-1642.63835526071,42431.310567772,FALSE
"95","Employee 95",49057.3163516819,3831.626806641,52888.9431583229,TRUE
"96","Employee 96",49262.8892813809,-2207.80819887295,47055.081082508,FALSE
"97","Employee 97",41470.0812962838,9997.10653210059,51467.1878283843,TRUE
"98","Employee 98",44846.0315843113,6693.29958385788,51539.3311681692,TRUE
"99","Employee 99",43718.6950747855,-4125.66923885606,39593.0258359294,FALSE
"100","Employee 100",43172.6198247634,5157.36990142614,48329.9897261895,TRUE
